customer_id,canonical_name,canonical_email,canonical_phone,record_count,resolution_tier,linked_source_records,lifetime_spend,total_orders,total_returns,return_rate,first_purchase_date,last_purchase_date,days_since_last_purchase,vip_flag,fraud_watch_flag,relationship_tier
CUST-00001,Joshua Walker,ndavis@hotmail.com,,3,tier2,POS-00002:tier2:conf=1.00:via=POS-00003;POS-00003:tier2:conf=1.00:via=POS-00002;ECOM-00001:tier2:conf=1.00:via=POS-00002,1003.53,6.0,0.0,0.0,2025-11-26,2026-04-15,82,False,False,regular
CUST-00002,Anthony Gonzalez,lauren10@gmail.com,,2,tier1,POS-00009:tier1:conf=1.00:via=ECOM-00002;ECOM-00002:tier1:conf=1.00:via=POS-00009,1940.88,9.0,2.0,0.222,2024-08-09,2026-05-09,58,False,False,regular
CUST-00003,Lisa Smith,hayesjeffrey@hotmail.com,,1,single_record,ECOM-00003:anchor,860.0,4.0,0.0,0.0,2026-04-08,2026-06-24,12,False,False,regular
CUST-00004,Linda Wolfe,acostaregina@hotmail.com,,1,single_record,ECOM-00004:anchor,530.41,3.0,0.0,0.0,2025-06-11,2025-08-07,333,False,False,regular
CUST-00005,Matthew Moore,stephen00@yahoo.com,,1,single_record,ECOM-00005:anchor,1877.24,10.0,1.0,0.1,2024-05-30,2026-06-20,16,True,False,VIP
CUST-00006,Melanie Munoz,fjones@yahoo.com,,1,single_record,ECOM-00006:anchor,1066.26,4.0,0.0,0.0,2025-08-24,2026-06-19,17,False,False,regular
CUST-00007,Amanda Dudley,oscar98@yahoo.com,(859) 536-3093,2,tier1,POS-00017:tier1:conf=1.00:via=ECOM-00007;ECOM-00007:tier1:conf=1.00:via=POS-00017,1840.0,7.0,2.0,0.286,2025-03-20,2026-01-30,157,False,False,regular
CUST-00008,Janet Williams,maria66@hotmail.com,,1,single_record,ECOM-00008:anchor,416.0,2.0,0.0,0.0,2024-02-05,2025-03-26,467,False,False,regular
CUST-00009,Jeremy Roberts,edwardslarry@yahoo.com,(385) 419-6598,2,tier1,POS-00021:tier1:conf=1.00:via=ECOM-00009;ECOM-00009:tier1:conf=1.00:via=POS-00021,2613.39,12.0,3.0,0.25,2025-03-03,2026-06-20,16,True,False,VIP
CUST-00010,Christopher Hall,,(341) 358-2264,2,tier2,POS-00022:tier2:conf=1.00:via=ECOM-00010;ECOM-00010:tier2:conf=1.00:via=POS-00022,1256.0,6.0,1.0,0.167,2025-07-24,2026-04-30,67,False,False,regular
CUST-00011,Craig Ramirez,daviscolin@hotmail.com,,2,tier1,POS-00023:tier1:conf=1.00:via=ECOM-00011;ECOM-00011:tier1:conf=1.00:via=POS-00023,1986.05,10.0,1.0,0.1,2024-11-26,2026-06-16,20,True,False,VIP
CUST-00012,Mitchell Clark,elizabeth65@hotmail.com,,1,single_record,ECOM-00012:anchor,1599.84,7.0,3.0,0.429,2024-09-09,2026-04-19,78,False,False,regular
CUST-00013,Leslie Adams,davisalyssa@yahoo.com,(584) 429-1461,2,tier2,POS-00037:tier2:conf=1.00:via=ECOM-00013;ECOM-00013:tier2:conf=1.00:via=POS-00037,1588.7,7.0,2.0,0.286,2025-04-21,2026-06-22,14,False,False,regular
CUST-00014,Nancy Edwards,moorekaren@gmail.com,,1,single_record,ECOM-00014:anchor,1233.53,7.0,0.0,0.0,2026-03-05,2026-07-05,1,False,False,regular
CUST-00015,Anna Baker,reeddaniel@hotmail.com,,3,tier2,POS-00043:tier1:conf=1.00:via=ECOM-00015;POS-00044:tier2:conf=1.00:via=POS-00043;ECOM-00015:tier1:conf=1.00:via=POS-00043,1118.88,5.0,0.0,0.0,2025-04-16,2026-03-09,119,False,False,regular
CUST-00016,Chris Williams,ythompson@hotmail.com,,1,single_record,ECOM-00016:anchor,1128.0,5.0,0.0,0.0,2025-06-21,2026-01-06,181,False,False,regular
