customer_id,canonical_name,canonical_email,canonical_phone,record_count,resolution_tier,linked_source_records
CUST-00001,Joshua Walker,ndavis@hotmail.com,,3,tier2,POS-00002:tier2:conf=1.00:via=POS-00003;POS-00003:tier2:conf=1.00:via=POS-00002;ECOM-00001:tier2:conf=1.00:via=POS-00002
CUST-00002,Anthony Gonzalez,lauren10@gmail.com,,2,tier1,POS-00009:tier1:conf=1.00:via=ECOM-00002;ECOM-00002:tier1:conf=1.00:via=POS-00009
CUST-00003,Lisa Smith,hayesjeffrey@hotmail.com,,1,single_record,ECOM-00003:anchor
CUST-00004,Linda Wolfe,acostaregina@hotmail.com,,1,single_record,ECOM-00004:anchor
CUST-00005,Matthew Moore,stephen00@yahoo.com,,1,single_record,ECOM-00005:anchor
CUST-00006,Melanie Munoz,fjones@yahoo.com,,1,single_record,ECOM-00006:anchor
CUST-00007,Amanda Dudley,oscar98@yahoo.com,(859) 536-3093,2,tier1,POS-00017:tier1:conf=1.00:via=ECOM-00007;ECOM-00007:tier1:conf=1.00:via=POS-00017
CUST-00008,Janet Williams,maria66@hotmail.com,,1,single_record,ECOM-00008:anchor
CUST-00009,Jeremy Roberts,edwardslarry@yahoo.com,(385) 419-6598,2,tier1,POS-00021:tier1:conf=1.00:via=ECOM-00009;ECOM-00009:tier1:conf=1.00:via=POS-00021
CUST-00010,Christopher Hall,,(341) 358-2264,2,tier2,POS-00022:tier2:conf=1.00:via=ECOM-00010;ECOM-00010:tier2:conf=1.00:via=POS-00022
CUST-00011,Craig Ramirez,daviscolin@hotmail.com,,2,tier1,POS-00023:tier1:conf=1.00:via=ECOM-00011;ECOM-00011:tier1:conf=1.00:via=POS-00023
CUST-00012,Mitchell Clark,elizabeth65@hotmail.com,,1,single_record,ECOM-00012:anchor
CUST-00013,Leslie Adams,davisalyssa@yahoo.com,(584) 429-1461,2,tier2,POS-00037:tier2:conf=1.00:via=ECOM-00013;ECOM-00013:tier2:conf=1.00:via=POS-00037
CUST-00014,Nancy Edwards,moorekaren@gmail.com,,1,single_record,ECOM-00014:anchor
