pos_record_id,name,phone,email,store_signed_up,created_date
POS-00001,Danielle Johnson,(494) 278-2479,,Madison Ave,2024-02-14
POS-00002,Joshua Walker,,pollardmichael@hotmail.com,Madison Ave,2025-09-27
POS-00003,Joshua Walker,,bruce43@gmail.com,Madison Ave,2026-02-02
POS-00004,Kathryn Miller,(243) 660-4084,williamsmatthew@gmail.com,Flatiron,2026-03-27
POS-00005,Kate Miller,,caseyhubbard@gmail.com,Flatiron,2025-12-05
POS-00006,Patricia Miller,(264) 661-2695,,SoHo,2025-06-03
POS-00007,Robert Johnson,(552) 931-2381,lisahall@gmail.com,SoHo,2026-04-16
POS-00008,Jeffery Wagner,,ramireztracey@gmail.com,Flatiron,2025-06-06
POS-00009,Anthony Gonzalez,,lauren10@gmail.com,Madison Ave,2024-02-16
POS-00010,Debra Gardner,(737) 735-3600,howardkristina@hotmail.com,Flatiron,2025-03-30
POS-00011,Jeffrey Lawrence,,alfred40@gmail.com,Bleecker,2025-01-13
POS-00012,Lisa Smith,,vfox@gmail.com,SoHo,2024-10-22
POS-00013,Lisa Smith,(254) 846-6482,xwest@hotmail.com,SoHo,2025-02-15
POS-00014,Susan Rogers,(491) 458-3463,gsimmons@yahoo.com,Madison Ave,2025-07-31
POS-00015,Christopher Davis,(880) 344-6731,,Bleecker,2024-12-13
POS-00016,Lindsay Blair,(602) 332-2388,cameronhill@hotmail.com,Flatiron,2025-11-08
POS-00017,Amanda Dudley,(859) 536-3093,oscar98@yahoo.com,Madison Ave,2024-11-19
POS-00018,Nicholas Arnold,(957) 901-9624,bwagner@gmail.com,SoHo,2025-12-26
POS-00019,Maria Montgomery,,farrelldebra@hotmail.com,SoHo,2024-04-11
POS-00020,Michelle Ray,,russellbeasley@yahoo.com,Madison Ave,2025-03-15
POS-00021,Jeremy Roberts,(385) 419-6598,edwardslarry@yahoo.com,SoHo,2025-01-12
POS-00022,Christopher Hall,(341) 358-2264,,Flatiron,2025-05-18
POS-00023,Craig Ramirez,,daviscolin@hotmail.com,SoHo,2024-04-19
POS-00024,Cynthia Diaz,(833) 334-7172,lisa80@hotmail.com,Flatiron,2024-12-16
POS-00025,Joseph Zuniga,(910) 989-3712,,Bleecker,2024-06-21
POS-00026,Joe Zuniga,(444) 654-5668,uparrish@gmail.com,Bleecker,2024-11-10
POS-00027,Deborah Lynch,(660) 439-9749,caroline51@hotmail.com,Bleecker,2026-02-15
POS-00028,Debbie Lynch,(399) 576-8218,ericolson@gmail.com,Bleecker,2026-05-17
POS-00029,George Daniel,(592) 714-9641,megan51@yahoo.com,Flatiron,2025-04-23
POS-00030,Frank Gray,(405) 819-3267,lindsaybruce@hotmail.com,Flatiron,2025-03-10
POS-00031,Frank Gray,(693) 580-2680,,Flatiron,2025-06-12
POS-00032,Veronica Bowman,(492) 285-3626,lynchdiane@hotmail.com,Bleecker,2025-06-18
POS-00033,Angela Cohen,,anthony44@yahoo.com,SoHo,2024-10-12
POS-00034,Angela Cohen,(648) 293-4637,,SoHo,2025-03-22
POS-00035,Megan Parsons,(625) 254-7495,adam29@hotmail.com,Flatiron,2024-12-29
POS-00036,Jeremy Johnson,,vjones@hotmail.com,Madison Ave,2025-06-04
POS-00037,Leslie Adams,(584) 429-1461,davisalyssa@yahoo.com,SoHo,2025-02-05
POS-00038,Jason Hahn,(866) 543-3392,jennifer99@gmail.com,SoHo,2024-04-17
POS-00039,Jason Hahn,(684) 912-3273,,SoHo,2024-06-21
POS-00040,Diana Foster,,nelsonebony@yahoo.com,Flatiron,2025-12-29
POS-00041,Robin Ellis,(282) 219-5193,,SoHo,2025-09-28
POS-00042,Joseph Wright,(762) 944-9647,nperry@hotmail.com,Flatiron,2024-08-14
POS-00043,Anna Baker,,reeddaniel@hotmail.com,Flatiron,2025-03-15
POS-00044,Anna Baker,(325) 248-4906,,Flatiron,2025-06-26
POS-00045,Brenda Hurst,(669) 264-2816,trose@gmail.com,Flatiron,2025-10-22
POS-00046,Brenda Hurst,,randallgreene@gmail.com,Flatiron,2026-03-28
POS-00047,Reginald Robinson,,kevinclark@gmail.com,Bleecker,2024-01-23
POS-00048,Whitney Hicks,(348) 498-8032,,Flatiron,2025-08-17
POS-00049,Christopher Williams,,keith10@yahoo.com,Bleecker,2024-01-08
POS-00050,Daniel Burton,(737) 569-2108,vincentwhitaker@yahoo.com,Madison Ave,2025-11-17
POS-00051,Laura Henderson,,sandersjudy@yahoo.com,SoHo,2025-06-28
POS-00052,Bryan James,,stevenschristian@yahoo.com,SoHo,2026-03-22
POS-00053,Bryan James,(245) 850-7338,tberry@hotmail.com,SoHo,2025-11-13
POS-00054,Wendy Rice,(566) 269-6649,zroberts@gmail.com,Madison Ave,2024-09-22
POS-00055,Tasha Valencia,(844) 306-6447,george97@hotmail.com,Bleecker,2024-09-09
POS-00056,Alexander Le,(760) 546-3868,,SoHo,2024-05-22
POS-00057,Erin Herrera,(676) 912-8840,christopher13@yahoo.com,Bleecker,2026-05-06
POS-00058,Daniel Graham,,jeffrey21@hotmail.com,Bleecker,2024-07-11
POS-00059,Shawn Mckay,(669) 237-5807,schmidtjames@yahoo.com,Madison Ave,2026-01-09
POS-00060,Nancy Baker,(405) 242-6170,,Madison Ave,2024-07-31
POS-00061,Vincent White,(757) 684-5150,jessica23@gmail.com,Bleecker,2024-11-19
POS-00062,Rita Harrell,,jonathanthompson@gmail.com,Flatiron,2026-02-16
POS-00063,Rita Harrell,,thompsonkendra@yahoo.com,Flatiron,2026-05-30
POS-00064,Kenneth Fowler,(872) 539-5476,,Madison Ave,2026-03-16
POS-00065,Chelsea Hernandez,(648) 609-8204,wwebster@hotmail.com,Flatiron,2024-05-13
POS-00066,Kathryn Ryan,(392) 708-9151,,Flatiron,2025-02-05
POS-00067,Kimberly Moreno,(732) 473-2353,kmaldonado@hotmail.com,Bleecker,2025-01-17
POS-00068,Aaron Nguyen,,harrisoncrystal@yahoo.com,Flatiron,2024-03-27
POS-00069,Andrew Hickman,(501) 528-2680,,Flatiron,2026-04-28
POS-00070,Natasha Decker,(503) 513-8305,,Flatiron,2024-03-28
POS-00071,Kyle Brown,(371) 906-8272,bellcharles@yahoo.com,Bleecker,2025-09-15
POS-00072,Natalie Arroyo,,xjohnson@yahoo.com,Bleecker,2024-12-31
POS-00073,Christopher Tucker,(482) 854-1939,jford@hotmail.com,Madison Ave,2025-09-27
POS-00074,Chad Hodges,(616) 572-9406,colelisa@hotmail.com,Madison Ave,2024-03-23
POS-00075,Thomas Pierce,(895) 648-1570,wagnergerald@gmail.com,Bleecker,2024-06-01
POS-00076,Rodney Lewis,(861) 575-6933,,Flatiron,2024-03-15
POS-00077,Amber Blair,,rschroeder@hotmail.com,Madison Ave,2025-08-09
POS-00078,Samuel Holmes,(581) 654-2259,mathewaguilar@gmail.com,Flatiron,2025-04-11
POS-00079,Sammy Holmes,,kyle62@hotmail.com,Flatiron,2025-10-04
POS-00080,David Walker,(456) 316-1424,collinsnicholas@yahoo.com,Bleecker,2025-11-02
POS-00081,David Walker,,elizabethcalderon@hotmail.com,Madison Ave,2024-07-02
POS-00082,Matthew Chapman,(467) 920-8311,,Flatiron,2025-08-04
POS-00083,Jerry Robinson,(493) 910-9047,lucasrodney@yahoo.com,SoHo,2024-08-13
POS-00084,Jerry Robinson,(276) 662-3828,,SoHo,2024-11-02
POS-00085,Chad Welch,,coxhenry@gmail.com,Flatiron,2026-01-06
POS-00086,Jeremy Whitehead,(528) 883-6692,stacey73@gmail.com,Flatiron,2024-04-05
POS-00087,John Caldwell,,stanleynancy@hotmail.com,Bleecker,2024-03-13
POS-00088,Jason Anderson,(362) 928-3852,carlamoore@gmail.com,Flatiron,2024-10-30
POS-00089,Thomas Mueller,,tarabishop@hotmail.com,SoHo,2025-06-10
POS-00090,Lindsey Lee,(443) 705-1430,pyoung@yahoo.com,Bleecker,2024-07-30
POS-00091,Rodney Owens,,smurray@yahoo.com,Flatiron,2025-07-27
POS-00092,Jessica Nunez,(765) 332-2412,mburch@hotmail.com,Bleecker,2025-04-29
POS-00093,Jessica Nunez,,moniquewilliams@yahoo.com,SoHo,2026-03-11
POS-00094,Tracey Garcia,(739) 620-7708,angela18@gmail.com,SoHo,2026-01-10
POS-00095,Richard Morgan,,christopher24@yahoo.com,Flatiron,2026-04-29
POS-00096,Michelle Wright,(858) 275-8372,mariahdavis@gmail.com,Madison Ave,2024-05-14
POS-00097,Michelle Wright,(553) 331-3981,bwilkerson@yahoo.com,Madison Ave,2024-10-10
POS-00098,James West,(644) 714-1907,sandersnathaniel@yahoo.com,SoHo,2026-03-03
POS-00099,Robert Ramirez,(357) 511-3697,,Bleecker,2026-05-07
POS-00100,Rob Ramirez,(732) 490-2292,,Bleecker,2026-02-25
POS-00101,John Leblanc,(765) 481-3050,,SoHo,2024-09-19
POS-00102,Andrea Williams,,lacey20@yahoo.com,SoHo,2024-11-12
POS-00103,Yvette Huff,,awest@gmail.com,Madison Ave,2025-06-04
